id,make_id,name,generation,first,last
735,3,ML350,W164,2006,2011
736,3,ML430,W164,2006,2011
737,3,ML500,W164,2006,2011
738,3,ML55 AMG,W164,2006,2011
739,3,ML270 CDI,W164,2006,2011
740,3,ML400 CDI,W164,2006,2011
741,3,GL450,X164,2006,2012
742,3,GL500,X164,2006,2012
743,3,GL550,X164,2006,2012
744,3,GL320 CDI,X164,2006,2009
745,3,GL350 CDI,X164,2009,2012
746,3,GL350 CDI BlueTEC,X164,2009,2012
747,3,GL420 CDI,X164,2006,2009
748,3,GL450 CDI,X164,2009,2010
749,3,CL500,C216,2006,2014
750,3,CL550,C216,2006,2014
751,3,CL600,C216,2006,2014
752,3,CL63 AMG,C216,2006,2014
753,3,CL65 AMG,C216,2006,2014
754,3,C180 Kompressor,W204.1,2007,2010
755,3,C180,W204.1,2010,2015
756,3,C200 Kompressor,W204.1,2007,2010
757,3,C200,W204.1,2010,2015
758,3,C230,W204.1,2007,2009
759,3,C250,W204.1,2008,2010
760,3,C280,W204.1,2007,2009
761,3,C300,W204.1,2009,2011
762,3,C350,W204.1,2007,2015
763,3,C63 AMG,W204.1,2007,2015
764,3,C180 CDI,W204.1,2010,2014
765,3,C200 CDI,W204.1,2007,2014
766,3,C220 CDI,W204.1,2007,2015
767,3,C250 CDI,W204.1,2009,2014
768,3,C320 CDI,W204.1,2007,2009
769,3,C350 CDI,W204.1,2009,2014
770,3,C180,W204.2,2011,2014
771,3,C200,W204.2,2011,2014
772,3,C250,W204.2,2011,2014
773,3,C300,W204.2,2012,2014
774,3,C350,W204.2,2011,2014
775,3,C63 AMG,W204.2,2011,2015
776,3,C63 AMG Coupe Black,W204.2,2011,2015
777,3,C180 CDI,W204.2,2011,2014
778,3,C200 CDI,W204.2,2011,2014
779,3,C220 CDI,W204.2,2011,2014
780,3,C250 CDI,W204.2,2011,2015
781,3,C300 CDI,W204.2,2011,2014
782,3,C350 CDI,W204.2,2011,2014
783,3,GLK280,X204,2008,2009
784,3,GLK300,X204,2009,2011
785,3,GLK350,X204,2008,2015
786,3,GLK200 CDI,X204,2010,2015
787,3,GLK220 CDI,X204,2009,2015
788,3,GLK250 CDI,X204,2009,2015
789,3,GLK320 CDI,X204,2008,2009
790,3,GLK350 CDI,X204,2009,2012
791,3,E200 CGI,W212,2009,2016
792,3,E250 CGI,W212,2009,2016
793,3,E300,W212,2009,2016
794,3,E350,W212,2009,2016
795,3,E550,W212,2009,2016
796,3,E63 AMG,W212,2009,2016
797,3,E200 CDI,W212,2009,2016
798,3,E220 CDI,W212,2009,2016
799,3,E250 CDI,W212,2009,2016
800,3,E300 CDI,W212,2010,2016
801,3,E350 CDI,W212,2009,2016
802,3,SLS AMG,R197,2010,2015
803,3,SLS AMG GT,R197,2012,2015
804,3,SLS AMG Coupe Black,R197,2013,2015
805,3,SLS AMG Coupe Electric,R197,2013,2013
806,3,CLS350,C218,2011,2014
807,3,CLS400,C218,2014,2017
808,3,CLS500,C218,2011,2017
809,3,CLS63 AMG,C218,2011,2017
810,3,CLS63 S AMG,C218,2013,2017
811,3,CLS220,C218,2014,2017
812,3,CLS250 CDI,C218,2011,2014
813,3,CLS250 BlueTEC,C218,2014,2017
814,3,CLS350 CDI,C218,2011,2014
815,3,CLS350 BlueTEC,C218,2014,2017
816,3,SLK200,R172,2011,2015
817,3,SLC200,R172,2015,2020
818,3,SLK250,R172,2011,2015
819,3,SLC300,R172,2015,2020
820,3,SLK350,R172,2011,2015
821,3,SLK55 AMG,R172,2012,2015
822,3,SLC43 AMG,R172,2015,2020
823,3,SLK250 CDI,R172,2012,2020
824,3,GL350,X166,2014,2019
825,3,GL450,X166,2013,2019
826,3,GL550,X166,2012,2019
827,3,GL63 AMG,X166,2013,2019
828,3,GL350 BlueTEC,X166,2012,2019
829,3,SL350,R231,2012,2014
830,3,SL400,R231,2014,2021
831,3,SL450,R231,2017,2021
832,3,SL500,R231,2012,2021
833,3,SL550,R231,2012,2021
834,3,SL63 AMG,R231,2012,2019
835,3,SL65 AMG,R231,2012,2018
836,3,S400,W222,2013,2017
837,3,S450,W222,2017,2020
838,3,S400 Hybrid,W222,2013,2020
839,3,S500,W222,2013,2018
840,3,S550,W222,2013,2017
841,3,S550 Hybrid,W222,2013,2017
842,3,S560,W222,2017,2020
843,3,S500 Hybrid,W222,2014,2020
844,3,S600,W222,2014,2020
845,3,S63 AMG,W222,2013,2020
846,3,S65 AMG,W222,2014,2019
847,3,S300 BlueTEC Hybrid,W222,2014,2020
848,3,S350 BlueTEC,W222,2013,2020
849,3,CLA180,C117,2013,2018
850,3,CLA200,C117,2013,2018
851,3,CLA220,C117,2016,2018
852,3,CLA250,C117,2013,2018
853,3,CLA45 AMG,C117,2013,2019
854,3,CLA180 CDI,C117,2013,2018
855,3,CLA200 CDI,C117,2013,2018
856,3,CLA220 CDI,C117,2013,2018
857,3,GLA180,X156,2015,2021
858,3,GLA200,X156,2013,2021
859,3,GLA220,X156,2017,2021
860,3,GLA250,X156,2013,2021
861,3,GLA45 AMG,X156,2014,2021
862,3,GLA180D,X156,2014,2018
863,3,GLA200D,X156,2013,2019
864,3,GLA220D,X156,2013,2019
865,3,C180,W205,2014,2021
866,3,C200,W205,2014,2021
867,3,C250,W205,2014,2021
868,3,C300,W205,2014,2021
869,3,C350 Hybrid,W205,2015,2021
870,3,C400,W205,2015,2021
871,3,C450 AMG,W205,2015,2021
872,3,C43 AMG,W205,2016,2021
873,3,C63 AMG,W205,2014,2021
874,3,C63 S AMG,W205,2014,2021
875,3,C220 BlueTEC,W205,2014,2021
876,3,C250 BlueTEC,W205,2014,2021
877,3,C300 BlueTEC Hybrid,W205,2015,2021
878,3,AMG GT,R190,2015,2019
879,3,AMG GT S,R190,2015,2019
880,3,AMG GT C,R190,2017,2019
881,3,AMG GT R,R190,2017,2019
882,3,AMG GT Roadster,R190,2017,2021
883,3,AMG GT C Roadster,R190,2017,2021
884,3,AMG GT Black,R190,2021,2021
885,3,GLC63 S AMG,X253,2016,2021
886,3,GLC63 AMG,X253,2016,2021
887,3,GLC43 AMG,X253,2016,2021
888,3,GLC300,X253,2016,2021
889,3,GLC350e,X253,2016,2021
890,3,GLC250,X253,2016,2021
891,3,GLC200,X253,2016,2021
892,3,GLC350D,X253,2016,2021
893,3,GLC250D,X253,2016,2021
894,3,GLC220D,X253,2016,2021
895,3,E200,W213,2016,2021
896,3,E250,W213,2016,2020
897,3,E300,W213,2016,2021
898,3,E300e,W213,2019,2021
899,3,E350,W213,2019,2021
900,3,E350e,W213,2016,2020
901,3,E400,W207,2015,2018
902,3,E450,W213,2019,2021
903,3,E43 AMG,W213,2016,2018
904,3,E53 AMG,W213,2018,2021
905,3,E63 AMG,W213,2016,2021
906,3,E63 S AMG,W213,2016,2021
907,3,E200D,W213,2016,2021
908,3,E220D,W213,2016,2021
909,3,E300De,W213,2018,2021
910,3,E350D,W213,2016,2021
911,3,E400D,W213,2018,2021
912,3,CLS300,C257,2019,2021
913,3,CLS350,C257,2018,2021
914,3,CLS450,C257,2018,2021
915,3,CLS53 AMG,C257,2018,2021
916,3,CLS220D,C257,2019,2021
917,3,CLS300D,C257,2018,2021
918,3,CLS350D,C257,2018,2021
919,3,CLS400D,C257,2018,2021
920,3,AMG GT 43,X290,2018,2019
921,3,AMG GT 53,X290,2018,2019
922,3,AMG GT 63,X290,2018,2019
923,3,AMG GT 63 S,X290,2018,2019
924,3,AMG GT 73 EQ ,X290,2018,2019
925,3,G500,W463.2,2018,2021
926,3,G550,W463.2,2018,2021
927,3,G550 4x4,W463.2,2018,2021
928,3,G63 AMG,W463.2,2018,2021
929,3,G350D,W463.2,2019,2021
930,3,G400D,W463.2,2019,2021
931,3,ML350,W166,2012,2015
932,3,GLE350,W166,2016,2018
933,3,ML400,W166,2015,2019
934,3,GLE400,W166,2015,2019
935,3,ML550,W166,2012,2014
936,3,ML63 AMG,W166,2012,2019
937,3,GLE63 AMG,W166,2012,2019
938,3,GLE63 S AMG,W166,2012,2019
939,3,ML250 BlueTEC,W166,2012,2019
940,3,ML350 BlueTEC,W166,2012,2019
941,3,GLE500e,W166,2016,2019
942,3,GLE350,W167,2019,2021
943,3,GLE450,W167,2019,2021
944,3,GLE53 AMG,W167,2020,2021
945,3,GLE580,W167,2019,2021
946,3,GLE63 AMG,W167,2020,2021
